"biomass","site","habitat","year","subsite"
0.58,"A","Creek",2000,"1"
3.37,"A","Reef",2000,"1"
7.93,"A","Creek",2000,"3"
2.61,"A","Reef",2000,"3"
4.52,"A","Creek",2000,"4"
1.79,"A","Reef",2000,"4"
5.65,"A","Reef",2000,"5"
4.85,"B","Creek",2000,"1"
14.66,"B","Reef",2000,"1"
11.32,"B","Creek",2000,"2"
0.99,"B","Creek",2000,"3"
0.59,"B","Creek",2000,"4"
0.9,"B","Creek",2000,"5"
5.18,"B","Reef",2000,"5"
2.99,"C","Creek",2000,"1"
4.49,"C","Reef",2000,"1"
4.64,"C","Creek",2000,"2"
0.49,"C","Reef",2000,"2"
7.45,"C","Creek",2000,"3"
6.19,"C","Reef",2000,"3"
0.36,"C","Reef",2000,"4"
1.54,"C","Creek",2000,"5"
1.41,"D","Creek",2000,"1"
1.61,"D","Reef",2000,"1"
1.25,"D","Reef",2000,"2"
1.08,"D","Creek",2000,"3"
2.08,"D","Reef",2000,"3"
0,"D","Creek",2000,"4"
0.93,"D","Reef",2000,"4"
2.47,"D","Creek",2000,"5"
1.94,"D","Reef",2000,"5"
0.76,"A","Creek",2001,"1"
1.48,"A","Reef",2001,"1"
0.88,"A","Reef",2001,"2"
3.56,"A","Creek",2001,"3"
0.65,"A","Reef",2001,"3"
10.36,"A","Creek",2001,"4"
20.54,"A","Creek",2001,"5"
3.38,"A","Reef",2001,"5"
1.05,"B","Creek",2001,"1"
6.45,"B","Reef",2001,"1"
1.26,"B","Creek",2001,"2"
4,"B","Reef",2001,"2"
4.83,"B","Creek",2001,"3"
8.54,"B","Reef",2001,"3"
1.27,"B","Creek",2001,"4"
3.36,"B","Reef",2001,"4"
0.73,"B","Creek",2001,"5"
9.92,"B","Reef",2001,"5"
1.77,"C","Creek",2001,"1"
10.2,"C","Reef",2001,"1"
1.04,"C","Creek",2001,"2"
6.58,"C","Reef",2001,"2"
1.12,"C","Creek",2001,"3"
8.01,"C","Reef",2001,"3"
1.43,"C","Creek",2001,"4"
9.58,"C","Reef",2001,"5"
2.94,"D","Creek",2001,"1"
1.62,"D","Reef",2001,"1"
17.33,"D","Creek",2001,"2"
0,"D","Reef",2001,"2"
4.47,"D","Creek",2001,"3"
0.53,"D","Reef",2001,"3"
0.59,"D","Creek",2001,"4"
2.25,"D","Reef",2001,"4"
5.55,"D","Creek",2001,"5"
0.43,"D","Reef",2001,"5"
18.71,"A","Creek",2002,"1"
1.3,"A","Reef",2002,"1"
16.17,"A","Creek",2002,"2"
1.29,"A","Reef",2002,"2"
25.81,"A","Creek",2002,"3"
1.95,"A","Reef",2002,"3"
0.75,"A","Reef",2002,"4"
1.61,"A","Creek",2002,"5"
18.79,"A","Reef",2002,"5"
9.85,"B","Creek",2002,"1"
17.16,"B","Reef",2002,"1"
3.66,"B","Reef",2002,"2"
6.03,"B","Creek",2002,"3"
0.59,"B","Reef",2002,"3"
3.35,"B","Creek",2002,"4"
14.2,"B","Reef",2002,"4"
12.36,"B","Creek",2002,"5"
6.38,"B","Reef",2002,"5"
8.39,"C","Creek",2002,"1"
6.23,"C","Reef",2002,"1"
7.26,"C","Creek",2002,"2"
5.05,"C","Reef",2002,"2"
1.35,"C","Creek",2002,"3"
15.41,"C","Reef",2002,"3"
0.23,"C","Creek",2002,"4"
1.93,"C","Reef",2002,"4"
5.98,"C","Creek",2002,"5"
6.22,"C","Reef",2002,"5"
3.85,"D","Creek",2002,"1"
2.11,"D","Reef",2002,"1"
2.56,"D","Creek",2002,"2"
2.65,"D","Reef",2002,"2"
1.17,"D","Reef",2002,"3"
3.41,"D","Reef",2002,"4"
4.85,"D","Creek",2002,"5"
2.52,"D","Reef",2002,"5"
